GRBID	Fbest	F_min	F_max	T_abest	T_amin	T_amax	Alpha_best	Alpha_min	Alpha_max	Photonindex_plateau	Photonerror_min	Photon_errormax	Tt	Tfinal	Redshift	PeakFlux	PeakFluxErr	PhinPrompt	PhinPromptErr	Epeak	Epeakerr	T90	T90Err	Fluence	FluenceErr	PeakFlux	PeakErr	Gamma	NH	Beta	IndexErr
50315	-11.3757	-11.4082	-11.3433	4.86356	4.81844	4.90868	1.10818	1.05902	1.15735	1.856	0.084	0.082	2.7	6	1.949	1.12E-07	8.25E-09	-2.08E+00	0.115575758	0.00E+00	0.00E+00	95.6	 1.396338e+01 	0.00000322	1.46	0.000000112	0.22	1.99544	8.26E+21	0.856	0.09
50319	-10.7047	-10.7464	-10.6631	3.73997	3.67804	3.8019	0.863159	0.828601	0.897717	1.971	0.118	0.1	2.56	6	3.24	7.72E-08	9.55E-09	-1.08E-01	1.270084848	0.00E+00	0.00E+00	152.5	 1.064419e+01 	0.00000131	1.48	7.72E-08	0.21	2.01045	8.66E+20	0.971	0.19
50401	-9.65399	-9.67345	-9.63454	3.12435	3.09602	3.15268	0.984108	0.958047	1.01017	1.9995	0.256080554	0.221251554	2	6	2.9	1.10E-06	6.01E-08	-6.66E-02	0.391551818	0.00E+00	0.00E+00	33.3	 5.774426e-01 	0.00000822	3.06	0.0000011	0.92	1.78711	1.34E+22	0.9995	0.07
050416A	-10.5564	-10.6048	-10.508	2.99481	2.92405	3.06558	0.842217	0.827268	0.857165	1.9	0.19	0.18	2	6.5	0.6535	2.22E-07	1.46E-08	-2.84E+00	0.117336364	0.00E+00	0.00E+00	2.5	 3.422086e+00 	0.000000367	0.37	0.000000222	0.48	2.06183	5.64E+21	0.9	0.22
50730	-10.0984	-10.125	-10.0718	4.05018	4.03239	4.06798	2.38763	2.33383	2.44143	1.5615	0.030793668	0.030372685	2.2	6	3.97	4.60E-08	7.64E-09	-1.32E+00	0.274558788	0.00E+00	0.00E+00	156.5	 1.861522e+01 	0.00000238	1.52	0.000000046	0.14	1.6177	5.48E+21	0.5615	0.11
50802	-10.2869	-10.3144	-10.2594	3.63973	3.60713	3.67233	1.44729	1.41455	1.48003	1.8585	0.088776405	0.084037194	2.1	6	1.7102	2.21E-07	2.15E-08	-1.29E+00	0.152333333	0.00E+00	0.00E+00	19	 8.164955e+00 	0.000002	1.57	0.000000221	0.44	1.8557	1.81E+21	0.8585	0.13
50803	-10.8602	-10.9091	-10.8113	4.21721	4.16955	4.26487	1.52234	1.47364	1.57103	2.218	1.350668816	0.900956297	2.6	6.2	3.5	8.15E-08	6.67E-09	-1.23E+00	0.127424242	0.00E+00	0.00E+00	87.9	 1.019719e+01 	0.00000215	1.35	8.15E-08	0.11	2.11696	2.23E+21	1.218	0.11
50824	-12.2388	-12.3074	-12.1703	5.08558	4.95836	5.2128	0.954481	0.864503	1.04446	1.86	0.18	0.16	2.1	7	0.83	3.25E-08	7.49E-09	-1.78E+00	0.355075758	0.00E+00	0.00E+00	22.6	 5.553665e+00 	0.000000266	0.52	3.25E-08	0.15	1.94709	9.35E+20	0.86	0.38
50826	-12.3335	-12.5675	-12.0994	4.76235	4.62377	4.90093	1.801	1.56568	2.03644	2.11	0.47	0.41	4	6	0.297	3.17E-08	7.05E-09	-1.25E+00	0.414395152	0.00E+00	0.00E+00	35.5	 6.309810e+00 	0.000000413	0.72	3.17E-08	0.13	2.45742	9.14E+21	1.11	0.31
051016B	-11.5896	-11.635	-11.5443	4.25742	4.19925	4.3156	1.14771	1.09917	1.19625	1.73	0.17	0.16	2.3	6.1	0.9364	7.49E-08	7.77E-09	-7.89E-01	0.648063636	0.00E+00	0.00E+00	4	 4.482187e-01 	0.00000017	0.22	7.49E-08	0.16	1.89482	5.18E+21	0.73	0.23
051109A	-10.5194	-10.5676	-10.4713	3.91123	3.86486	3.9576	1.22299	1.20383	1.24214	2.06	0.270601183	0.161012422	2.3	6.1	2.346	3.01E-07	3.03E-08	-1.45E+00	0.150809091	0.00E+00	0.00E+00	37.2	 6.069085e+00 	0.0000022	2.72	0.000000301	0.69	2.06584	9.34E+21	1.06	0.20
051109B	-11.5749	-11.6671	-11.4827	3.65548	3.52884	3.78213	1.251	1.12883	1.37317	2.06	0.29	0.27	1	6.1	0.08	3.70E-08	6.52E-09	-1.85E+00	0.270387879	0.00E+00	0.00E+00	14.3	 4.117119e+00 	0.000000256	0.41	0.000000037	0.13	2.12549	2.33E+21	1.06	0.24
