,Fbest,T_abest,Alpha_best,Photonindex_plateau,Beta,Gamma,log10PeakFlux,log10Epeak,log10T90,log10Fluence,log10NH,log10z
0,-11.3757,4.86356,1.10818,1.856,0.856,1.99544,-6.950781977329818,-inf,1.9804578922761,-5.492144128304169,21.916980047320383,0.2898118391176215
1,-10.7047,3.73997,0.863159,1.971,0.971,2.01045,-7.112382699664264,-inf,2.1832698436828046,-5.882728704344236,20.937517892017347,0.5105450102066121
2,-9.65399,3.12435,0.984108,1.9995,0.9995,1.78711,-5.958607314841775,-inf,1.5224442335063197,-5.0851281824599495,22.127104798364808,0.4623979978989561
3,-10.5564,2.99481,0.842217,1.9,0.9,2.06183,-6.653647025549361,-inf,0.3979400086720376,-6.43533393574791,21.751279103983343,-0.1847544080834369
4,-10.0984,4.05018,2.38763,1.5615,0.5615,1.6177,-7.337242168318426,-inf,2.194514341882467,-5.623423042943488,21.73878055848437,0.5987905067631151
5,-10.2869,3.63973,1.44729,1.8585,0.8585,1.8557,-6.655607726314889,-inf,1.2787536009528289,-5.698970004336019,21.257678574869185,0.23304690209818252
6,-10.8602,4.21721,1.52234,2.218,1.218,2.11696,-7.088842391260023,-inf,1.943988875073772,-5.667561540084395,21.34830486304816,0.5440680443502757
7,-12.2388,5.08558,0.954481,1.86,0.86,1.94709,-7.488116639021126,-inf,1.354108439147401,-6.575118363368933,20.970811610872516,-0.0809219076239261
8,-12.3335,4.76235,1.801,2.11,1.11,2.45742,-7.498940737782249,-inf,1.550228353055094,-6.384049948343599,21.960946195733833,-0.5272435506827877
9,-11.5896,4.25742,1.14771,1.73,0.73,1.89482,-7.125518182300533,-inf,0.6020599913279624,-6.769551078621726,21.714329759745233,-0.028538594975413254
10,-10.5194,3.91123,1.22299,2.06,1.06,2.06584,-6.521433504406157,-inf,1.5705429398818975,-5.657577319177793,21.970346876230092,0.37032800777951047
11,-11.5749,3.65548,1.251,2.06,1.06,2.12549,-7.431798275933005,-inf,1.1553360374650619,-6.59176003468815,21.367355921026018,-1.0969100130080565
12,-11.6936,4.20075,1.09586,1.89,0.89,2.0589,-5.991399828238082,-inf,0.146128035678238,-5.939302159646388,21.27415784926368,-0.2620126736665692
13,-11.2952,3.69688,0.889919,2.0,1.0,2.10553,-7.142667503568732,-inf,2.144885418287142,-5.767003889607846,21.432969290874407,0.5477747053878226
14,-10.6893,4.47599,1.3641,1.99,0.99,2.00895,-7.198596289982645,-inf,2.8512583487190755,-6.336299074610352,21.917505509552548,0.36172783601759284
15,-10.6316,3.93814,1.17565,2.265,1.265,2.20424,-6.696803942579511,-inf,0.8808135922807914,-6.080398976215889,22.340444114840118,0.6074550232146685
16,-10.6679,4.15028,1.20511,1.979,0.979,2.08163,-6.928117992693875,-inf,2.406540180433955,-5.115771230367396,22.38738982633873,0.5921767573958667
18,-10.9636,2.78682,1.1892,1.84,0.81,2.01015,-7.002613615602686,-inf,1.0530784434834197,-6.171984935776023,22.4983105537896,0.6444385894678386
19,-10.7056,3.61496,1.03794,1.76,0.76,2.28823,-6.327902142064283,-inf,1.7867514221455612,-5.671620396561262,21.620136054973756,0.1903316981702915
20,-10.5532,3.3865,0.897152,1.87,0.87,2.02719,-6.777283528852417,-inf,1.4533183400470377,-5.636388020107856,21.456366033129044,0.17897694729316943
21,-12.2656,4.43617,1.00735,2.38,1.38,2.1317,-7.345823458122039,-inf,2.4396484295634737,-5.39040559077478,22.0,0.6901960800285137
23,-11.7689,4.45991,1.21596,2.02,1.02,2.1711,-7.634512015109101,-inf,1.9777236052888478,-6.39577394691553,21.989894563718774,0.32954024765666384
24,-11.2609,4.04162,1.9179,1.835,0.835,2.02128,-7.325138859262188,-inf,1.8981764834976764,-6.15676722190199,21.773054693364262,0.5797835966168101
26,-11.7815,5.03344,1.9453,1.783,0.783,1.89544,-6.07727454200674,-inf,2.0362295440862948,-4.690369832574101,20.511883360978874,-0.9030899869919435
28,-10.8586,3.73449,1.20488,1.87,0.87,2.04425,-7.039529222465701,-inf,2.060697840353612,-5.548213564475709,22.012837224705173,0.4329692908744057
29,-11.1507,5.1057,1.35481,2.317,1.317,2.02393,-7.119186407719209,-inf,2.061829307294699,-5.583359492661719,20.960470777534297,-0.2676062401770315
30,-10.9108,4.22387,1.29504,1.97,0.97,2.11591,-6.217527375833714,-inf,2.1622656142980214,-4.835647144215563,22.008600171761916,-0.07572071393811836
32,-11.8833,4.33479,1.71887,2.06,1.06,2.07859,-6.913640169325252,-inf,1.6384892569546374,-5.655607726314889,22.41995574848976,0.5664374921950703
33,-9.62707,2.81918,1.38309,2.185,1.185,2.13395,-6.567030709125595,-inf,1.2855573090077739,-5.552841968657781,21.809559714635267,0.27498868177068486
34,-10.0409,3.23849,1.01707,1.785,0.785,1.99282,-6.2644011003018205,-inf,1.6646419755561255,-5.528708288941061,20.871572935545878,-0.46054750845053916
35,-10.7768,3.15198,1.39098,1.83,0.83,1.94856,-6.609064892896621,-inf,1.3521825181113625,-5.94692155651658,22.10720996964787,0.7481880270062005
36,-10.0299,3.78753,1.35185,1.9485,0.9485,1.90181,-5.707743928643524,-inf,1.9100905455940682,-4.863279432843593,21.753583058892907,0.11859536522376199
37,-10.4135,3.49343,1.98937,1.145,0.145,1.65934,-6.449771646944906,-inf,-0.11918640771920865,-6.476253533188435,21.167317334748176,-0.9546770212133425
38,-11.0488,4.26825,1.42725,2.186,1.186,2.08596,-7.325138859262188,-inf,1.9464522650130731,-5.790484985457369,21.399673721481037,0.37143731740410085
39,-10.8636,3.44468,1.2125,2.14,1.14,2.20341,-7.465973893943865,-inf,1.678518379040114,-6.351639989019068,21.864511081058392,0.0663259253620378
40,-11.2737,4.86926,1.89982,1.831,0.831,1.94468,-6.696803942579511,-inf,2.321184027302314,-5.269217724333611,22.442479769064448,0.17490256217832625
41,-10.0125,3.55243,1.44502,1.98,0.98,2.00022,-7.059981844992337,-inf,1.5786392099680724,-5.096367483915762,22.27415784926368,-0.2572748686953017
42,-10.2468,3.09323,1.21432,1.76,0.76,1.97999,-6.954677021213342,-inf,2.0382226383687185,-5.590066876668706,22.562292864456474,0.3978705159953707
43,-10.7429,3.22974,1.64623,1.93,0.93,2.07429,-6.567030709125595,-inf,1.806179973983887,-6.142667503568732,21.643452676486188,-0.03621217265444471
44,-11.672,3.92184,1.16348,1.78,0.78,1.99014,-7.636388020107856,-inf,1.2148438480476977,-6.552841968657781,21.91381385238372,0.3891660843645325
45,-11.9611,4.18985,1.17521,1.396,0.396,1.37246,-7.042392712939905,-inf,0.11394335230683678,-7.0,20.806179973983888,-0.6601512169623629
46,-10.7777,3.36583,1.36994,2.02,1.02,2.17076,-6.903089986991944,-inf,1.041392685158225,-6.161150909262744,21.930949031167522,0.3364597338485295
