Index,X.name,z,Flux1.100m,Energy_Flux100,Significance,Variability_Index,Frac_Variability,Highest_Energy,nu,nufnu,PL_Index,Pivot_Energy,LP_Index,LP_beta,Gaia_G_Magnitude,Label
1,4FGL J0001.2+4741,NA,1.22E-10,1.63E-12,4.092253,20.01873,0.69284904,65.5752,1.00E+14,3.72E-13,2.2221549,2514.9417,2.2337143,-0.008456561,20.4141,bcu
2,4FGL J0001.2-0747,NA,8.23E-10,9.44E-12,23.369343,33.22868,0.33279318,86.9752,9.12E+13,1.94E-12,2.1049428,1612.6141,2.0718932,0.04876986,16.5076,bll
3,4FGL J0001.5+2113,1.106,1.36E-09,1.93E-11,44.134697,1564.4176,1.0545832,NA,1.58E+14,1.15E-12,2.659308,355.78442,2.5481505,0.15877607,18.4836,fsrq
4,4FGL J0001.6-4156,NA,3.05E-10,3.39E-12,15.6107,16.148964,0.32796606,44.8521,7.33E+15,1.90E-12,1.7558894,4009.3838,1.6675872,0.06975478,18.5019,bcu
5,4FGL J0002.1-6728,NA,2.42E-10,2.82E-12,13.141449,13.479138,0.30663496,52.1518,NA,NA,1.846469,3689.1895,1.6778738,0.16372891,18.4183,bcu
6,4FGL J0002.3-0815,NA,1.17E-10,6.18E-12,5.012555,11.524589,0.31231728,43.4288,7.59E+13,3.99E-13,1.9895958,3959.9126,1.9282347,0.15012589,19.341862,bcu
7,4FGL J0002.4-5156,NA,7.62E-11,6.18E-12,4.2994423,18.140957,0.74236494,NA,NA,NA,1.897161,4530.31,1.3496544,0.6414554,18.862066,bcu
8,4FGL J0003.1-5248,NA,3.15E-10,3.60E-12,15.321319,5.088118,0,91.645,NA,NA,1.8750632,3772.3918,1.810078,0.05651087,NA,bcu
9,4FGL J0003.2+2207,0.09983,1.35E-10,1.73E-12,4.466363,5.1751347,0,NA,8.32E+13,4.52E-13,2.210459,2572.9114,0.7698703,0.99968916,NA,bll
10,4FGL J0003.3-1928,NA,4.02E-10,2.59E-12,14.550161,45.88706,0.6441291,NA,2.29E+13,6.41E-13,2.2775729,953.7989,2.0584412,0.24640359,19.1939,bcu
11,4FGL J0003.3-5905,NA,1.30E-10,1.68E-12,6.8768315,4.4944234,0,NA,NA,NA,2.4606173,1040.6666,2.5030756,-0.045128092,NA,bcu
12,4FGL J0003.9-1149,1.30999,3.51E-10,3.21E-12,12.366488,4.358574,0,NA,2.45E+12,8.17E-13,2.0871086,1677.4374,1.9320688,0.27118722,19.3223,bll
13,4FGL J0004.0+0840,2.057129,1.92E-10,2.49E-12,6.8997116,11.35256,0.3789283,NA,3.02E+14,2.59E-13,2.035315,2554.3271,1.6673219,0.46910653,19.7616,bcu
14,4FGL J0004.3+4614,1.81,2.41E-10,2.49E-12,7.115046,44.86029,1.0609995,NA,2.57E+12,2.29E-13,2.584969,917.12274,2.526971,0.06729238,20.408297,fsrq
15,4FGL J0004.4-4737,0.88,4.36E-10,6.51E-12,19.55275,139.12305,0.88832825,NA,1.32E+13,2.52E-12,2.36556,915.58276,2.3042858,0.09203692,19.8476,fsrq
16,4FGL J0005.9+3824,0.229,4.25E-10,8.36E-12,16.455746,26.769516,0.31499016,NA,1.32E+13,7.26E-12,2.6721156,450.0627,2.5520496,0.18990411,18.3994,fsrq
17,4FGL J0006.3-0620,0.347,1.40E-10,1.43E-12,5.2548656,20.412579,0.47420785,NA,8.32E+12,8.18E-12,2.127844,2162.2083,2.1056306,0.16953455,17.1541,bll
18,4FGL J0006.4+0135,0.787,1.52E-10,1.97E-12,6.011418,6.2646704,0,19.675,2.29E+14,2.24E-13,2.0524669,2602.1719,1.7409216,0.32114387,19.6122,bcu
19,4FGL J0007.7+4008,NA,4.03E-10,4.10E-12,13.7334585,25.763365,0.459907,31.1711,NA,NA,2.1588902,1869.5715,1.9425657,0.17945859,18.7605,bcu
20,4FGL J0008.0+4711,0.28,2.05E-09,1.83E-11,47.191513,6.4340043,0,68.152,3.35E+13,1.30E-12,2.0470488,1362.5607,1.9286299,0.07913111,19.0094,bll
21,4FGL J0008.0-3937,NA,1.49E-10,1.37E-12,6.1612515,12.51474,0.3060508,NA,3.16E+12,2.68E-13,2.5832374,815.8528,2.5210016,0.4068936,20.0411,bcu
22,4FGL J0008.4-2339,0.147,1.64E-10,2.69E-12,10.347475,13.834541,0.33446735,71.1217,NA,NA,1.6560616,6562.022,1.3491105,0.27816898,18.3753,bll
